d,Vp,Vs
0.0,5.128394537815127,2.9263703781512604
5.0,5.5638394957983195,3.1773121848739496
10.0,5.994204831932772,3.4252579831932772
15.0,6.38985231092437,3.6548117647058826
20.0,6.751255672268908,3.860007983193277
25.0,7.010925840336134,4.006620798319328
30.0,7.268093067226889,4.153584453781512
35.0,7.503969327731093,4.286401050420168
40.0,7.72930819327731,4.4097212184873955
45.0,7.856066176470589,4.487598109243697
50.0,7.965834033613446,4.553766596638655
60.0,8.089939495798319,4.625512605042017
70.0,8.076528571428572,4.613457773109244
80.0,8.06527962184874,4.603750420168067
100.0,8.065059453781513,4.601007773109243
120.0,8.077986764705884,4.6079075630252095
140.0,8.0999512605042,4.6210426470588235
160.0,8.155648739495797,4.655036764705882
180.0,8.21033130252101,4.689136764705882
200.0,8.263342857142858,4.720915336134454
240.0,8.396959033613443,4.798018277310924
290.0,8.567794117647058,4.650017857142857
340.0,8.763385294117647,4.739792857142858
400.0,9.113412605042017,4.92159012605042
450.0,9.480104411764707,5.162497478991597
